Year (Graduates),Graduates with Associates Degree,Graduates with Bachelors Degree,Graduates with Doctors Degree,Graduates with Masters Degree,All Institutions Avg Tuition,Private 2-year Tuition,Private 4-year Tuition,Public 2-year Tuition,Public 4-year Tuition
1969-70,206023,792316,59486,213589,1560,1993,2558.756449,951,1237.910594
1979-80,400910,929417,95631,305196,2809,3751.304284,5012.585276,1821.510261,2327.382999
1980-81,416377,935140,98016,302637,3101,4302.872389,5593.533067,2027.069089,2550.341666
1981-82,434526,952998,97838,302447,3489,4746.323561,6329.846392,2223.954733,2870.846298
1982-83,449620,969510,99335,296415,3877,5364.23393,7125.969761,2389.552653,3196.096439
1983-84,452240,974309,100799,291141,4167,5571.039772,7759.434659,2533.866541,3432.956196
1984-85,454712,979477,100785,293472,4563,6203.324792,8450.621474,2806.964892,3681.52355
1985-86,446047,987823,100280,295850,4885,6512,9228.160617,2981,3858.506095
1986-87,436304,991264,98477,296530,5206,6383.7115,10039.39704,2988.780284,4137.675552
1987-88,435085,994829,99139,305783,5494,7077.884327,10659.26315,3065.590442,4403.104304
1988-89,436764,1018755,100571,316626,5869,7966.930761,11474.17218,3182.765147,4678.232519
1989-90,455102,1051344,103508,330152,6207,8670.251957,12283.96682,3299.203217,4975.284849
1990-91,481720,1094538,105547,342863,6562,9302.288567,13237.1589,3467.465337,5242.584406
1991-92,504231,1136553,109554,358089,7077,9632.498265,14257.55457,3622.732275,5693.283011
1992-93,514756,1165178,112072,375032,7452,9903.441794,15009.39896,3798.825995,6019.887336
1993-94,530632,1169275,112636,393037,7931,10406.3545,15903.74523,3995.830264,6365.137344
1994-95,539691,1160134,114266,403609,8306,11170.47292,16601.95759,4136.724357,6670.134722
1995-96,555216,1164792,115507,412180,8800,11563.46786,17611.59507,4216.733701,7013.846386
1996-97,571226,1172879,118747,425260,9206,11954.40247,18442.2549,4403.819427,7334.341781
1997-98,558555,1184406,118735,436037,9588,12921.32141,19069.88544,4509.398348,7673.380587
1998-99,564984,1202239,116700,446038,10076,13319.09205,19928.98891,4604.316003,8026.93148
1999-2000,564933,1237875,118736,463185,10430,14045.00657,20736.93511,4730.092555,8274.085045
2000-01,578865,1244171,119585,473502,10820,14907.24565,21856.02197,4839.016136,8653.411593
2001-02,595133,1291900,119663,487313,11380,15825.36452,22895.95629,5137.400001,9196.189823
2002-03,634016,1348811,121579,518699,12014,17753.20922,23787.28742,5601.373414,9787.387089
2003-04,665945,1399760,126325,564606,12953,19558.33392,25069.77199,6012.094005,10674.2657
2004-05,697086,1439848,134271,580562,13793,20297.2938,26259.83288,6375.369829,11425.67734
2005-06,713315,1485104,138056,599862,14634,21403.99744,27332.79192,6491.700556,12108.35941
2006-07,727616,1524729,144694,610703,15486,20284.42227,28919.22623,6815.490871,12799.25557
2007-08,750166,1563734,149190,630844,16227,21686.28419,30225.84281,6977.457448,13428.98
2008-09,787243,1601399,154564,662082,17045,22722.84356,31232.34398,7548.518518,14212.11266
2009-10,848856,1649919,158590,693313,17650,24463.31454,31846.602,7708.044271,15035.95854
2010-11,943506,1716053,163827,730922,18475,23101.22739,32517.15572,8078.682617,15919.3511
2011-12,1021718,1792163,170217,755967,19401,23604.5801,33677.11902,8617.103776,16786.52321
2012-13,1007427,1840381,175026,751718,20233,23354.63789,35071.49207,8927.306275,17474.52482
2013-14,1005155,1870150,177587,754582,20995,23870.3534,36599.32141,9283.151507,18099.57007
2014-15,1014341,1894969,178548,758804,21729,24326.91458,37987.82426,9585.482455,18631.73499
2015-16,1008228,1920750,178134,785757,22439,24375.1265,39533.52376,9914.331575,19204.33256
2016-17,1005687,1956114,181357,804542,23091,24888.07535,41465.22043,10090.05335,19488.39548
2017-18,1011696,1980665,183734,820242,23833,25596.01503,43131.24284,10280.3356,20048.75411
2018-19,1036640,2013086,187577,833792,24619,28580.02054,44670.59486,10950.84996,20596.98443
2019-20,1019038,2038682,190133,843531,25280,26743.7869,45925.27982,11059.63447,21035.37566
2020-21,1036431,2066445,194059,866894,25910,25666.74645,46312.50601,11556.91727,21337.37372
